"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Sandlin, Nick","R","83.2","86",,,"76.4",,"48.2",,
"Allen, Logan","L","83.2","86.1","40.4","80.6",,,,"56.7",
"Gilbert, Tyler","L","83.2","87.3","52.6",,"99.1",,,"40.3",
"Ribalta, Orlando","R","83","84",,"79.6",,,"19.9",,
"Keller, Mitch","R","82.9","71.8",,"71.9",,"93.3","26.9","63.3",
"Domínguez, Seranthony","R","82.9","82.2",,,,"77.7",,"38.5",
"Senzatela, Antonio","R","82.9","84.7",,"62.1",,"57.3","39.1",,
"Holton, Tyler","L","82.8","79.2","50.3","97.8",,,,"54.3",
"Suárez, Ranger","L","82.5","73.1","36.1","70.7",,"87.4",,,
"Herget, Jimmy","R","82.1","84.9",,,,"60.6","19.4",,
"Martin, Davis","R","82.1","82.8","36.2","70",,"74.3","35.5",,
"Schwellenbach, Spencer","R","82","76.9","59.5",,"71.9","70","28.2",,
"Stratton, Chris","R","81.9",,,"78.1",,"69","30.9",,
"Soroka, Michael","R","81.9",,,"95.7",,,"66.2",,
"Wesneski, Hayden","R","81.8","84.3","37.8","80.7",,"76.3",,"54.9",
"Gómez, Yoendrys","R","81.7",,,"87.6",,"80.2",,"57.3",
"Elder, Bryce","R","81.6","77.7",,"63.7",,,"16.9",,
"Soriano, George","R","81.2","78.7",,"78.7",,,"23.7",,
"Lawrence, Justin","R","81.1","77.7",,,,,,"51.9",
"Kochanowicz, Jack","R","80.9","76.1",,"66.7",,,"15.3","37.9",
"Rodriguez, Eduardo","L","80.5","79","61.7","84.3",,,"32.5",,
"Díaz, Alexis","R","80.5",,,,,,"31.2",,
"Garabito, Gerson","R","80.3","74.9",,"80.6",,"50.4","32.9",,
"Fitts, Richard","R","80.2","79.6",,,,"58.4","28.4","37.8",
"García, Yimi","R","80.1","80.3",,"93.2",,"49.4",,"45.9",
"Hudson, Bryan","L","80","71.4",,,,,,"78.9",
"Scott, Tanner","L","80",,,,,,"29.4",,
"Rodríguez, Manuel","R","79.9","87.7",,,,,"28.4",,
"Banks, Tanner","L","79.8","79.6",,"63.3",,,"35.7","39.9",
"Junis, Jakob","R","79.3","75",,"70.9",,,"40.3",,
