"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Abbott, Andrew","L","94.4",,,"92.9",,"48.9",,"36.8",
"Rodón, Carlos","L","94.4",,,"82.7",,"69.3","30",,
"Herget, Kevin","R","94.2",,,"98.3",,"92.3","28.4","50.3",
"Abad, Fernando","L","94.1","91.6",,"99.3",,"60.6",,,
"Coonrod, Sam","R","94","90.3","71.4","95.5",,,,"41.5",
"Honeywell, Brent","R","94","88.9",,"94.4",,,,"52.4",
"Tapia, Domingo","R","94","90.7",,"99.5",,,"32.7",,
"Kinley, Tyler","R","93.9",,,,,,"41.1",,
"Márquez, Germán","R","93.9","91.2",,,,"24.1","24.3",,
"Santana, Dennis","R","93.9","92.5","26.1","93",,,"22",,
"Houser, Adrian","R","93.8","89.6",,"88.4",,"93.7","33.6",,
"Scherzer, Max","R","93.7",,"39.5","99.1",,"77","20.4",,
"deGrom, Jacob","R","93.7",,,"91.2",,,"32.2",,
"Loáisiga, Jonathan","R","93.7","91.7",,"96.6",,"37.7",,,
"Cruz, Fernando","R","93.7",,"44.6",,"65.2",,"39.1",,
"Staumont, Josh","R","93.6","88",,,,"86.8","39.8",,
"Alcantara, Sandy","R","93.6","93.2",,"90.3",,"27.7","21.1",,
"Abbott, Cory","R","93.6",,,,,"58.4","64.2",,
"Salazar, Eduardo","R","93.5","90.5",,"89",,,"19.7",,
"Ward, Thaddeus","R","93.5","93.7","31","98.9",,,,"65.4",
"Stone, Gavin","R","93.5","93.1","50.9","99.1",,,"27.9",,
"Cueto, Johnny","R","93.5","94.4","62","80.6",,,"43.5",,
"Bush, Matt","R","93.4","89.5",,,,"81.5",,,
"Smith, Will","L","93.4",,,"95.9",,"62.4","26.1",,
"Kopech, Michael","R","93.4",,,"92.2",,"62.5","34",,
"Scott, Tayler","R","93.4","92.5",,"82.8",,,"51.7",,
"Garza, Justin","R","93.3",,"35.1","89.6",,,"33.4",,
"Vines, Darius","R","93.3",,"51","97.4",,,"12.4",,
"Shuster, Jared","L","93.3",,,"97.6",,,"32.4",,
"Anderson, Chase","R","93.3","92.8","53.8","99.4",,"96.5",,"50.3",
"Kerr, Ray","L","93.3",,,,"97.2","34.9",,,
"Rutledge, Jackson","R","93.3","98.7",,"96.1",,"77.8","14.7",,
"Law, Derek","R","93.2","85.9","56.3","98.9",,"56.5","28.3",,
"Javier, Cristian","R","93.2",,,"84.3",,"74.7","42.5",,
"Patiño, Luis","R","93.2","89.5",,"98.9",,,"36.7",,
"Reyes, Denyi","R","93.1","93.6","61.3","98.1",,,"45.7",,
"Liberatore, Matthew","L","93.1","90.6",,"98.8",,"94.2","22.3",,
"Doyle, Tommy","R","93.1",,"56",,,,"24.3",,
"Baker, Bryan","R","93.1",,,"90.6",,,"46.5",,
"Hoeing, Bryan","R","93","92.8",,"98.5","79.2",,"36.7",,
"De Jesus, Enmanuel","L","93","91.2",,"88.8",,,"44.6",,
"Joyce, Ben","R","93",,,,,,"42.5",,
"Green, Chad","R","93",,,,,,"28.5",,
"Taillon, Jameson","R","93","92.4","55.2","98.6",,"71.8","40.3","46.7",
"Wittgren, Nick","R","93",,"38.6","85.4",,,"35.7",,
"Jiménez, Dany","R","93",,,,,,"12.7",,
"Sandoval, Patrick","L","92.9","94.3",,"98.1",,"69.2","36","51.1",
"Gibaut, Ian","R","92.9",,"57.9","96.9",,,,"53.2",
"Nogosek, Stephen","R","92.9",,"51.9","91.8",,,,"55.6",
"Snead, Kirby","L","92.9","92.6",,"90.5",,,"46.1",,
"Duarte, Daniel","R","92.8","95.2","52.1","98",,,"54.7",,
"Thompson, Mason","R","92.8","86.3",,,,"86.5","28.7",,
